	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000038	11	22	19	27	11	3	4	9	3	4	10	5	1	13	1	46	0	2	0	38	8	62	36	1	19	21	0	16	1	27	10	1	8	2	0	18	1	0	21	11	0	58	6	30	5	102	12	0	12	50	6	28	18	313	0	0	3	19	15	3	247	1	76	11	3	12	245	41	2	206
Otu000758	0	0	0	0	2	1	16	2	20	0	0	6	0	0	1	0	0	7	0	76	11	14	0	0	0	0	34	0	1	0	0	4	3	0	12	0	0	0	0	0	0	0	8	41	0	0	0	0	0	1	10	0	0	87	1	6	2	0	7	0	0	0	9	1582	2	0	15	28	2	0
Otu000047	2	0	20	64	0	0	74	0	1	0	23	15	0	0	0	0	0	26	0	0	7	4	1	0	5	11	75	0	0	0	23	106	53	0	0	0	3	0	0	0	0	1	0	69	2	68	0	1	5	0	33	0	0	125	22	2	0	3	44	0	638	0	354	0	0	0	0	30	16	2
Otu000028	0	0	0	30	0	256	2	0	21	0	10	26	33	31	9	0	28	10	3	547	41	12	20	8	6	28	9	2	0	0	18	25	17	23	3	15	38	0	0	27	44	0	5	1	3	35	0	0	0	80	2	0	7	6	183	14	13	21	2	0	96	15	7	11	8	0	0	0	0	9
Otu000135	15	23	27	12	12	27	30	25	19	2	66	14	14	12	8	8	4	33	60	38	16	30	48	19	15	22	24	63	20	16	27	9	14	26	1	14	27	13	52	57	8	23	33	34	20	19	16	0	48	20	18	45	20	11	9	5	31	28	56	108	8	15	25	58	23	48	47	17	14	4
Otu000031	30	0	0	24	100	1	1	13	0	0	0	2	5	165	0	0	0	20	0	30	34	16	0	0	86	0	9	2	5	0	0	4	68	18	0	4	0	2	42	7	0	45	0	0	2	1	0	0	0	8	0	9	1	297	0	4	0	216	0	4	41	29	106	0	28	32	1	0	9	159
Otu000993	17	7	7	29	1	47	24	28	30	8	15	0	93	9	4	0	4	14	44	18	22	12	91	40	9	14	27	30	31	5	6	56	80	59	3	9	20	26	26	28	15	18	15	13	12	35	10	0	29	39	12	50	4	6	16	7	24	10	56	59	17	70	16	43	30	14	23	5	9	21
Otu000025	0	54	0	5	85	10	2	0	16	0	4	3	1	1	457	9	0	0	20	48	20	8	10	0	3	39	43	1	2	0	1	18	9	17	2	6	2	0	0	257	2	1	19	15	4	66	0	0	2	6	0	10	1	11	0	0	0	0	3	7	26	6	76	54	2	22	8	0	1	6
Otu001365	0	160	0	7	228	57	0	2	7	0	0	0	0	0	136	1	0	0	2	9	17	22	23	5	5	58	1	0	5	0	2	3	22	11	0	15	0	0	0	134	1	3	118	5	9	146	0	1	0	24	0	0	3	14	0	0	0	0	0	9	40	0	29	33	1	0	1	0	1	12
Otu000034	0	22	6	5	30	0	0	5	1	1	7	0	4	5	84	40	0	1	48	19	2	42	90	4	14	58	10	2	4	2	10	3	3	22	23	0	21	1	17	35	3	29	16	7	3	19	19	2	6	10	36	261	2	10	1	2	41	3	11	15	4	2	57	84	4	12	66	11	0	3
Otu000085	17	7	10	2	15	6	1	0	11	2	0	0	1	3	3	0	3	0	0	53	21	16	5	0	78	3	0	9	37	3	5	0	0	3	0	4	3	11	7	15	22	0	10	4	3	82	14	0	4	82	11	0	9	451	1	8	2	1	14	169	51	0	16	3	2	23	16	14	1	9
Otu000033	3	0	3	29	0	4	4	2	3	0	11	5	0	1	2	39	0	0	0	7	0	134	1	0	18	6	0	0	0	27	8	1	8	0	6	0	0	0	47	3	2	33	0	124	0	87	9	0	9	16	39	0	74	107	0	21	2	1	17	0	152	2	0	0	1	7	13	237	3	15
Otu000059	0	0	20	26	10	14	8	0	1	0	0	3	0	0	0	13	1	0	0	61	0	0	0	0	22	0	0	0	2	1	5	12	19	0	1	1	17	1	1	0	104	8	0	7	4	136	10	2	6	52	22	0	0	346	0	2	0	3	0	0	117	1	73	0	33	0	1	25	1	89
