	KMV_361	KMV_362	KMV_364	KMV_365	KMV_366	KMV_367	KMV_370	KMV_372	KMV_373	KMV_374	KMV_375	KMV_377	KMV_378	KMV_380	KMV_381	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_389	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_400	KMV_401	KMV_402	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_411	KMV_413	KMV_415	KMV_416	KMV_417	KMV_418	KMV_419	KMV_421	KMV_423	KMV_424	KMV_425	KMV_427	KMV_428	KMV_429	KMV_433	KMV_435	KMV_436	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_445	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_454	KMV_456	KMV_457	KMV_459	KMV_460
Otu000376	0	0	0	2.027480736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.738300805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.201119623	0	0	0	0	2.444784843	0	0	3.277337944	4.034269902	0	0	0	2.887525271	0	0	0	0	0	0	3.778486816	0	5.111579795	0	3.266140317	0	0	0	0	0
Otu001022	0	0	0	0	0	0	4.158169978	0	0	0	3.255048751	0	3.255048751	0	0	0	0	0	0	0	5.548483688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.543723003	3.485952495	0	0	4.747498523	4.677517484	0	0	4.621878817	0	0	0	0	0	3.988220085	0	0	0	0	4.744508356	0	0	0	0	0	0	0	0	0	0	0	0
Otu000286	0	0	0	0	4.589579129	3.346859325	0	0	0	0	0	0	0	0	0	2.615464589	0	0	0	3.176784783	0	0	0	0	0	0	0	0	0	0	0	2.981222793	0	3.071660985	0	0	0	0	0	2.60929183	0	0	0	0	0	2.938599455	0	0	0	0	0	0	0	4.548436625	0	0	0	0	0	0	2.606219179	0	0	0	0	0	0	0	0	3.251374815
Otu000354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.492674911	0	0	0	3.848480302	0	0	0	0	0	0	0	0	0	2.963977331	0	0	0	0	0	0	0	0	2.543723003	0	0	3.829429375	0	4.120471603	0	2.444784843	0	0	0	4.034269902	0	0	0	3.40599236	0	2.865781896	0	0	0	0	3.109960212	0	0	0	0	0	0	0	0	0
Otu000363	0	0	0	3.354842717	0	0	0	0	3.697779146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.414383957	0	0	0	0	0	0	2.938599455	0	0	0	3.354842717	0	0	2.238013991	3.608809243	0	0	0	0	0	0	4.023891876	0	2.535098184	0	0	0	0	2.172734535	0	3.251374815
Otu000817	0	0	0	3.734188509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88008409	0	2.740240726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.688055994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.82559404	0	4.335186829	0	0	0	0	3.91026138	0	5.133025419
Otu000990	0	0	0	0	4.034269902	0	4.862445819	0	4.641089092	0	0	0	0	0	0	0	0	0	0	0	4.023891876	0	0	0	0	0	0	7.003070654	0	0	0	0	3.300058915	0	0	0	4.189142917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.016531724	0	0	0
Otu001228	0	4	0	0	0	0	0	0	0	0	3.255048751	0	0	2.989946335	0	0	0	0	0	2.669464565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.543723003	0	0	0	0	0	0	0	0	0	0	3.734188509	0	0	2.238013991	0	0	2.865781896	0	0	0	0	0	0	5.384304954	0	0	2.827323338	0	0	0	0
Otu000230	0	0	0	3.354842717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.300058915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.027480736	0	0	2.238013991	0	0	0	0	0	3.780189712	0	0	0	0	0	0	4.976721281	3.540808171	5.429792128	0	3.251374815
Otu000279	0	2.584962501	0	0	4.589579129	0	4.158169978	0	0	0	0	0	0	0	0	0	0	0	0	3.848480302	0	0	0	0	0	0	0	0	3.472619051	0	0	0	0	0	0	0	0	0	4.345089145	0	0	0	3.266140317	0	0	1.688055994	0	0	3.277337944	2.838719093	2.930267379	0	3.076378531	2.887525271	0	0	0	0	0	0	1.82559404	0	0	0	0	0	0	0	0	2.740240726
Otu000453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.941447818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.747498523	0	0	5.192018772	0	0	0	0	2.930267379	0	0	4.217230716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu001260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.611024797	0	4.094725125	0	0	2.804884553	0	0	0	0	0	0	0	0	3.886852842	0	0	0	0	3.266140317	0	4.345089145	0	0	0	0	0	0	0	0	5.198269627	0	2.027480736	0	0	0	0	0	2.865781896	0	0	3.780189712	0	0	0	0	0	6.296204214	0	0	0	0	0
Otu000254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.034269902	0	0	0	0	0	3.628031223	0	0	0	0	0	0	0	3.868434131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.277337944	0	0	0	2.238013991	2.887525271	0	0	0	0	0	0	4.416585363	0	0	0	0	0	0	4.861467873	0	0
Otu000291	0	0	0	2.027480736	0	3.883764286	4.552863346	0	0	0	2.39876196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.299507612	0	0	0	0	0	0	4.21886991	0	0	0	3.30580843	4.065919631	0	0	2.027480736	0	0	0	1.378511623	0	0	0	0	0	0	0	0	0	0	0	0	3.540808171	3.526859546	0	2.740240726
Otu000346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.096256167	0	0	0	2.804884553	0	0	0	0	0	0	0	3.924517728	4.438935212	0	0	0	0	6.582369124	0	0	0	3.201119623	0	0	0	0	2.444784843	0	0	0	2.838719093	0	0	0	0	0	0	0	0	0	0	0	0	0	4.020451209	0	0	0	0	0	0
Otu001063	0	0	0	0	0	0	0	0	0	0	2.39876196	0	0	0	0	0	0	0	0	0	0	3.251374815	0	0	0	2.804884553	0	0	0	0	5.188281944	0	0	0	0	0	4.189142917	0	3.953521681	0	0	3.294337355	0	0	0	0	0	0	0	0	0	0	3.076378531	0	0	0	0	3.797347749	0	5.438721383	0	0	0	0	0	3.721932779	2.184629194	3.003160341	0	0
Otu000218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.613054808	1.88008409	0	0	0	0	0	0	0	0	0	0	0	2.981222793	0	0	0	0	0	0	0	0	0	2.434371046	0	0	0	0	0	0	0	2.027480736	0	0	0	5.300123725	0	0	0	0	0	0	0	0	0	0	0	0	2.184629194	0	0	0
Otu000276	0	5.523561956	0	2.838719093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.865781896	0	0	0	0	0	0	0	0	0	0	0	2.172734535	3.222392421	5.537747862
Otu000400	0	0	0	4.989558253	0	0	0	0	0	0	0	0	0	0	0	2.615464589	0	0	0	0	0	3.251374815	0	0	5.782776899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.598259323	0	0	0	2.838719093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.172734535	0	0
