sample_id	KMV_362	KMV_364	KMV_370	KMV_372	KMV_373	KMV_375	KMV_377	KMV_380	KMV_382	KMV_383	KMV_384	KMV_386	KMV_388	KMV_390	KMV_391	KMV_392	KMV_393	KMV_394	KMV_395	KMV_401	KMV_403	KMV_404	KMV_405	KMV_406	KMV_408	KMV_409	KMV_415	KMV_416	KMV_417	KMV_418	KMV_421	KMV_424	KMV_425	KMV_428	KMV_429	KMV_438	KMV_439	KMV_440	KMV_443	KMV_444	KMV_446	KMV_448	KMV_449	KMV_450	KMV_452	KMV_453	KMV_456	KMV_457
outcome	susceptible	susceptible	susceptible	susceptible	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	susceptible	susceptible	resistant	resistant	resistant	susceptible	susceptible	susceptible	susceptible	susceptible	resistant	resistant	resistant	susceptible	resistant	susceptible	susceptible	resistant	resistant	resistant	resistant	resistant	resistant	resistant
m_254	3579616	3345764	2345413	2010396	2411102	1088731	3266754		709170	642587				1251970	1369204	1951967	1496218	1359496	1691957	723980		755714	880147	3053726		722665		2226318	3142756	1042239		1681283	1282713	1005015		1237797	5107181						676562	3307395			1129070	963639
m_266	12700441	1624442	3095141	9071814	8701337	2583739	4005981	1536449	2810274	1585348	1875199	9067738	4265620	2740534	19141779	6324548	3110299	5771946	5335534	1881373	2418166	7391462	4430591	3870949	3147525	4677985	2048039	6617093	1565188	1738016	2080427	2555971	4507057	2125404	1465423	1411192	12086246	2182562	3051282	14024572	7733002	3481171	10243583	2253029	5262551	1989233	2372298	5465431
m_267	283367	489286	1247524	222962	264431	654706	244675	692595	265746	697541		862312	2520610	292044	179863	414664	250535	331607	2498481	90405	178487	359151	314031	2600832	154314	738098	388261	1356007	254648		297549	520369	141988	419334	197458	979361	814685	107499	317791	382208	229583	154482	694713	289638	1158266	168371	312256	496142
m_275	183534488	157536	145136	231864	234266	166837		100810	186892	84732	100513	61273038	1629114	183619	203995	778688	75362	1448012	903724	74547	129326	220125	354620	182416975	343879	3226568	123129	145380194	5410335	64448	145984	5678177	487705	735092	180700	11951954	73408557	248888	264627		359619		551401	11972627	406688	891194	630238	318997
m_282	268716	143706	112042	124685	1178201	3551572	144288		156510	154764	70102	257057	649253	2065050	122424	355072	50259	134635	319703	131136	587847	271986	159127	3272554	181459	237862	72892	1189736	202103		39324	200243			63384	37328	97675	47526	179250	113785		199296	244627	288259	574447	52340	369468	116016
m_291		2792126		504676	243387	4012704	281755	130560	1661995	526218	1816459		837158	3352090		1141355	3652869		155826	1017611	521636		227399	1868783	774623	868991	462272	1189220	204135		264691	3843883	898844	238248	453280	864963		2876172				1038948	587088	149347		416052	657153	2145336
m_297	15534011	4369545	9669035	532999865	46768996	29719867	4619381	2061985	3253741	9318233	4745205	11842547	16926187	3831447	84767560	8808784	1969942	35120589	36713009	28046945	15603136	27903079	58145375	12563212	34294814	16960112	10060031	9115934	11262452	7694206	1745109	4663885	26108680	3893690	12065198	5820648	101911441	18651529	66439511	38051340	67124935	2632985	122541907	8546699	34390182	8073388	41356251	5801723
m_298	1066062	1115624	358066	1286220	1549127	8264233	596892			212200	51172	227993	1621453	7284470	839534	157770	471651	165464	93260	684115		389235	917231	267061		176256	579625	763936	510141	268042	1135371	474640	41001	373617		330679		149658	135235	850628	228141	1098074	251187	1314559	275997		822706	705984
m_302	1145166784	822382464	494382905	1737590525	1967659851	4125370933	471233854	31643893	2020648482	1839091338	33047531	1222575562	631162623	104391680	432305151	541690333	83908108	660112722	7219990313	626847520	312406421	279494472	199524505	1238854887	2018956307	700993213	123699834	1659060441	607663491	641524463	954409875	1063187693	2058760871	1413400646	580915487	548408945	2479181134	1772080458	656813672	29333986	288134921	976723291	2859506703	567709374	1264380459	946363024	375921366	68215975
m_313	7415661	23442706	15475442	268766409	22367771	29641571	19513302	3469596	9538874	7014317	9959938	8491803	28396072	10749275	45569491	9354540	8700927	15014909	15018116	58899276	45445493	26857700	46335493	7688756	58878575	13767103	42374715	3961874	23413909	52233008	9631993	19225562	34192392	33965908	35603788	50693359	40096586	55488042	68515527	39988517	32839792	11325119	84505926	26125350	33401425	14432030	52962858	14686393
m_327	204434	300546	132940	478387	313610	608675	484598		335733	36080			277069	224693			375534		131282	350860	557535	268070	484749	228519	79214	139098			69442			462675		341906	616190	371268		306408	823578	108495	140732	134173	36883	70791			208549	160523
m_330	1824375	7027291	1995423	13498809	1961301	6962000	7455712	1622093	4253212	1022821	722973	2709905	2387814	2953307	3780684	1962123	8090021	3571361	1142427	8941436	5857618	1624785	2120074	3012934	3271338	1445218	1393721	332187	5236964	2090689	3989315	10085162	11143906	3463796	3622918	3011678	542384	3975077	7797130	2594107	18817140	10133981	3119948	1140990	3163871	4719397	7076219	13308118
m_331	540026	4046525	792590	345243		1672942	4654803	703161	943102					770133	213633	75989	1933746			1812196		230769	728256		944761		545968			776526		3828658		2006946	1943082		531589	1184820	858682	342705		2072661			896080	1169199	796614	1574466
m_338	65416724	34983274	9894449	3082623	27141206	6753908	79673692	54411156	16625483	15885093	18834930	64465166	14212062	20600760	7130342	11373328	20194912	9110433	55800706	8475843	11095839	32455693	5917740	33543752	14821950	29385400	5141421	39284801	45602177	22825255	8510735	5875936	64504697	3731369	13106508	5975572	14441705	15904033	6159584	6995845	5407651	3634475	10341695	7148528	28577611	7634551	10641829	3120025
m_339	30150567	108881553	69199422	23725505	89178008	58649012	3393425	29642770	7575890	49621256	58740785	4406380	34560306	16667865	47696794	28747610	104931852	37421009	12896460	75871677	130057741	113501979	70969725	10741479	90013777	45918074	170621432	9418766	134889421	162154878	3342404	93652334	81560479	131593878	94001230	189961185	67913295	154252743	87515296	119523480	61358166	5032273	46308325	100179750	7299960	77631382	69583211	4585598
m_340	36146539	55308362	36812294	52569279	32002800	35079558	43598818	11409019	44133621	15310252	15437110	22396730	33196309	32368412	30152995	14064742	67073944	20945246	24361175	54558287	59255606	23402378	35781841	97064054	38171885	19576249	36010145	31459838	27090361	83158329	45918031	70871967	48762988	51143352	44132481	36674465	127192374	23255327	41870390	38138414	143785777	40640679	22410370	42008976	39792282	33620731	40125603	117683605
m_342	1268976	868044	3624328	1369260	7582646	1011022	339542	194810	3041305	6960744	499578	693485	637507	1938652	1273707	739428	260405	4112552	5105061	785235	992575	343978	1837073	2898808	834238	954306	204935	2745387	11082357	607844	6668665	4769278	1179287	790861	792136	1460551	1154192	9013267	2262400	517947	1074564	4369629	415041	1356902	1003053	1778886	406725	697587
m_344	8503083			34527	6693274	90615		46999	93559			20662786			2474295	45960	104222	174762	7925093	75096			207952	22042298		2311972		39148928			35276	82267	343859	120800	25948	10367656	3782450	83601	86861		264377		302203	1172555	1799946	93032	34104	49373
m_348	19385016	25427753	9583994	5940655	13316153	20622507	10050022	5312845	33287496	7613632	5300289	3841828	29745785	39043291	9887572	3021638	6730316	5395624	3414701	10085829	46951931	8364713	12602645	1650000	12516644	3870548	11053626	5119668	6591920	8365440	11566395	5197785	3285512	6498615	10531676	8239983	2503037	3530237	2111358	25480462	15031517	13691143	9603621	15437136	5110119	1787995	18105228	29543002
m_354	366588	322912	5555908	3568508	3374947				424167			5535367	1253970	244977	940452	836453	1285882	116903565	1736826		131034		234529	3133376		8948177	153440	3052014	84616	2048116	553484	218023	7981436	15140951	4249514	1199093	485780553	3043906	4717585		2700409	3485536	19246032		23678716	1454920	137355	4048463
m_355	6633832	5785347	5296011	7879328	3080050	4750012	3343145	2758950	7743693	2636487	744096	4883530	2524801	3527774	5502817	2482778	7990630	3321754	803575	5408062	10516485	2100183	4872911	5071867	7531404	1929396	4539860	3709518	4661028	6045209	4251911	6660589	6661358	5655558	6730733	4724300	2549002	1866605	5010706	4085660	24088862	4456285	4280441	2975612	10743925	3833395	8590171	9812808
m_358	118372			71570	284310		29477					207898				68871		486310	30548	132175	40374	25290	61706	111621	37830	143877		77526	31775			28355					154129		46269	72035	353198		334733		398541		64507	72750
m_361	80739891	112607481	67395897	23861959	99512854	113786210	78379552	9173531	175330514	85189189	23736116	10840437	160944666	133649359	26389676	43286675	40824257	54047469	58857061	82613817	40921986	23342326	96790821	10588163	23555831	87899669	408910	25618899	19947039	23304014	37698055	50284163	25683584	5389975	50241981	20790147		18807878	13907045	94987927	41536222	59259876	5863385	32779247	16975816	12192050	195715067	132493124
m_363	1747890	3885350	2893738	1312265	2891977	1366054	2403060	5737628	2288064	2109025	1771424	3135534	2743730	4244674	2244435	1442661	2066193	1032666	4155952	2066721	1741429	4792586	1642898	3098942	2018306	934718	4613821	6102018	2236583	2809323	3231602	2067481	1888297	2715995	1118065	2512474	1357164	1013521	3723289	4076177	1250864	2927632	1832733	1076295	720068	5837348	5107559	3382591
m_376	775601150	1123366423	687645201	1180118047	233626700	796790633	995979026	316054635	820624716	229050631	120928392	517894796	500803670	834556079	567595154	408395403	1333098468	406137433	225490992	1128417020	1105999521	419271720	520841672	170254421	728264811	254209239	672101038	171704851	546972977	1867911063	1100198356	1268278263	963167135	1185789407	770090186	1174953210	1016352582	583103869	850734778	815343382	2244024963	1033284000	653512999	625680790	941398618	757973509	818632075	1815972964
