otu_id	taxa
a8876a3d2793a38c730218483ad26f7b	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum;t__
b5b10a604242a48f9ba592c38ec92f03	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp 2010IleoMSXIXa;t__
10ff717fb0dc9e5be5e826a0c9155d3f	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__Lachnoclostridium phytofermentans;t__
8387db055d2ade75e5a5819eeb6b27b6	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens;t__
24bedb3ed066f20e27f4e0e2627c3811	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron;t__
5d9c6ddc383e591f8dcbb6d4f73bda03	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus casseliflavus;t__
9774e44bbe52288f55a7b6e079778afc	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp MarseilleP2653;t__
e1ce018a458e7997ffa09f107d20cd94	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp FDAARGOS192;t__
950cb0c23aecd1b4e8b16555dd7c7abe	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus parainfluenzae;t__
cf4969a623dbce717102ca6f67b0b0a2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp DJFB185;t__
031a76086a272031f2be9e8732a0c613	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli;t__
5d8691baabd1297e06ae14d8509c6d1b	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp DJFRP53;t__
21580122297c44a1dc8054fe43fef94c	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp ASF519;t__
380e0c83b3ec1152cc59a3b1051e52c9	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium xylanophilum;t__
f7f4dd034726a1dd316f10b49d35e98a	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thermoamylovorans;t__
20f2c168123a5fda56c0573e99fccf7e	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__Blautia wexlerae;t__
fe98b8f378c63676ae7c9d47eb6523dd	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;s__Roseburia sp 11SE38;t__
